# extended ;1
# legs ;['blueleg']
# legs model ;['beam']
# legs young modulus ;[35000.]
# legs poisson ratio ;[0.45]
# legs position on motor ;['counterclockwisedown', 'clockwisedown', 'counterclockwisedown', 'clockwisedown']
# connector ;bluepart
# connector type ;rigid
Effector position;Motor angle
[ 1.19619326e+01 -9.85255714e+01  4.46428277e-08];[1.1299110320308738, -1.5173026220064336, 1.1299116742858712, -0.700011514506616]
[ 11.96231438 -98.52078396  -3.98654719];[0.9898378633626339, -1.5182092031084737, 1.266487704158689, -0.7007094101548421]
[ 11.96277051 -98.51592983  -7.97411979];[0.8475489005829688, -1.5202897447857144, 1.3978175661397352, -0.7024001986546409]
[ 11.96331204 -98.51085751 -11.96331226];[0.7045192065519458, -1.5227447002267531, 1.522744285938579, -0.7045194248914718]
[ 11.96502987 -98.49030502 -15.95580231];[0.5621983703664303, -1.5250277935100134, 1.6411532196337246, -0.7066065507490545]
[ 11.96668852 -98.47150538 -19.95047604];[0.42097325780062234, -1.5252798566524477, 1.7521643268955318, -0.7074440996565675]
[ 15.956198   -98.48973967 -15.95619827];[0.5640178449014714, -1.642742926506428, 1.6427404311270937, -0.5640153165506879]
[ 15.95537169 -98.49507856 -11.96469024];[0.7065041042563188, -1.640969348862041, 1.5248477940231473, -0.5621090137722276]
[ 15.95467313 -98.50002877  -7.97507389];[0.8494473875227662, -1.638428745879128, 1.399820988119695, -0.5599368135646365]
[ 15.95409003 -98.50475057  -3.98703795];[0.9916919101778295, -1.6362790913639387, 1.268400130611732, -0.558242336282582]
[ 1.59536155e+01 -9.85093822e+01 -1.47018742e-07];[1.1317721566367518, -1.6353466704093256, 1.1317707665396182, -0.5575575788061558]
[ 15.95408985 -98.50475078   3.98703769];[1.2684008418091652, -1.6362790872803243, 0.9916901208688071, -0.5582424691530788]
[ 15.95467276 -98.50002945   7.97507372];[1.399820872646037, -1.6384284466159387, 0.8494455922444814, -0.559937050246387]
[ 15.95537121 -98.49507969  11.96469018];[1.5248469620081195, -1.6409683097473349, 0.7065025616523599, -0.5621092850572476]
[ 15.95619826 -98.48973684  15.95619847];[1.6427415759041657, -1.6427408787792708, 0.5640162614805935, -0.5640168037936378]
