# extended ;1
# legs ;['blueleg']
# legs model ;['beam']
# legs young modulus ;[35000.]
# legs poisson ratio ;[0.45]
# legs position on motor ;['counterclockwisedown', 'clockwisedown', 'counterclockwisedown', 'clockwisedown']
# connector ;bluepart
# connector type ;rigid
Effector position;Motor angle
[ -11.95417553 -132.81330707   38.7671814 ];[1.570796326794898, 0.5235987755982983, -0.5235986847714378, -0.01047261129998818]
[ -23.40318346 -127.48023413   39.10448973];[1.570796326794898, 0.5235987755982983, -0.5235987774519066, -0.5340707381349996]
[ -32.93962693 -120.80555829   39.50852561];[1.570796326794898, 0.5235987755982983, -0.5235987755604696, -1.0576695269733638]
[ -40.12175096 -113.81550399   40.01074398];[1.570796326794898, 0.5235987755982983, -0.5235987755990721, -1.5812683023014573]
[  16.1018545  -142.16620425   51.36434818];[1.570796326794898, 0.5235987755982983, -1.0578832404945062, 1.635124176368292]
[   9.90632793 -141.74307914   50.73415037];[1.570796326794898, 0.5235987755982983, -1.046979475904808, 1.0351990486420724]
[  -0.26060903 -139.85329161   50.85171177];[1.570796326794898, 0.5235987755982983, -1.047202001712755, 0.5131579536994455]
[ -12.38604972 -136.00853722   51.09950629];[1.570796326794898, 0.5235987755982983, -1.0471974603697423, -0.010472611299988305]
[ -23.87966428 -129.91387485   51.41063952];[1.570796326794898, 0.5235987755982983, -1.0471975530502056, -0.5340707381349997]
[ -33.12792558 -122.45567154   51.76051524];[1.570796326794898, 0.5235987755982983, -1.047197551158774, -1.057669526973364]
[ -39.96126421 -114.87733358   52.24317161];[1.570796326794898, 0.5235987755982983, -1.0471975511973655, -1.5812683023014575]
[  16.45389424 -142.04128426   61.08151562];[1.570796326794898, 0.5235987755982983, -1.5814820160928058, 1.6351241763682918]
[  10.36883895 -142.11963251   59.99179473];[1.570796326794898, 0.5235987755982983, -1.5705782515031077, 1.0351990486420721]
[  -0.25794919 -140.34116857   59.65498827];[1.570796326794898, 0.5235987755982983, -1.5708007773110546, 0.5131579536994453]
[ -12.73071112 -136.33043319   59.58580567];[1.570796326794898, 0.5235987755982983, -1.5707962359680308, -0.01047261129998818]
[ -24.21317213 -129.94574526   59.68366463];[1.570796326794898, 0.5235987755982983, -1.5707963286485052, -0.5340707381349996]
[ -33.24604349 -122.25387695   59.96422733];[1.570796326794898, 0.5235987755982983, -1.5707963267570626, -1.0576695269733638]
[ -39.84329172 -114.52030126   60.53317775];[1.570796326794898, 0.5235987755982983, -1.570796326795665, -1.5812683023014573]
[  28.13040827 -111.58758077   -0.72944744];[1.570796326794898, -0.010685689297924746, 1.6349104625824606, 1.635124176368292]
[ 1.98946193e+01 -1.10838270e+02  1.44150286e-02];[1.570796326794898, 0.00021807529179438062, 1.5694878750441277, 1.0351990486420724]
[ 1.04850551e+01 -1.09209294e+02 -2.99337646e-04];[1.570796326794898, -4.450516159068918e-06, 1.5708230298918535, 0.5131579536994455]
[-2.51790699e-01 -1.06914765e+02  6.28818865e-06];[1.570796326794898, 9.082686038916225e-08, 1.5707957818337326, -0.010472611299988305]
[-1.08217882e+01 -1.03505492e+02 -1.71025090e-07];[1.570796326794898, -1.8536093956972488e-09, 1.5707963379165568, -0.5340707381349997]
[-2.00373719e+01 -9.91751241e+01  8.09167595e-08];[1.570796326794898, 3.782876317749649e-11, 1.5707963265679237, -1.057669526973364]
[-2.74034018e+01 -9.44592601e+01  4.77662835e-07];[1.570796326794898, -7.720155750509181e-13, 1.5707963267995273, -1.5812683023014575]
[  27.58444429 -117.4637274     6.17156814];[1.570796326794898, 1.575541989899759e-14, 1.0365118618985802, 1.6351241763682918]
[  19.83986703 -116.18348943    6.11101396];[1.570796326794898, -3.2153918161220213e-16, 1.0474156264883894, 1.0351990486420721]
[  10.50640294 -114.60759413    6.23350167];[1.570796326794898, 6.56202411453444e-18, 1.0471931006804425, 0.5131579536994453]
[  -0.25291008 -112.21327789    6.33473223];[1.570796326794898, -1.3391885948029146e-19, 1.0471976420234552, -0.01047261129998818]
[ -10.85599781 -108.58423851    6.44190586];[1.570796326794898, 2.7330379485774257e-21, 1.047197549342992, -0.5340707381349996]
[ -20.03196897 -103.98060461    6.56591282];[1.570796326794898, -5.577628466484728e-23, 1.0471975512344234, -1.0576695269733638]
[-27.27815308 -99.0221314    6.71009657];[1.570796326794898, 1.1382915237724243e-24, 1.047197551195821, -1.5812683023014573]
[  27.48421724 -123.60436218   14.63742784];[1.570796326794898, -2.3230439260661228e-26, 0.5129130863003917, 1.635124176368292]
[  20.04190958 -122.46873399   14.59053117];[1.570796326794898, 4.740905971563272e-28, 0.5238168508900953, 1.0351990486420724]
[  10.67027333 -120.90105825   14.82038303];[1.570796326794898, -9.675318309312707e-30, 0.5235943250821373, 0.5131579536994455]
[  -0.25197886 -118.30647644   15.02333956];[1.570796326794898, 1.97455475700252e-31, 0.5235988664251612, -0.010472611299988305]
[ -10.98658449 -114.2809018    15.23359096];[1.570796326794898, -4.02970358571961e-33, 0.5235987737446868, -0.5340707381349997]
[ -20.15249675 -109.19782373   15.46640317];[1.570796326794898, 8.223884868815515e-35, 0.5235987756361293, -1.057669526973364]
[ -27.26961898 -103.81175498   15.7337174 ];[1.570796326794898, -1.6783438507785935e-36, 0.5235987755975269, -1.5812683023014575]
[  27.7352948  -129.90401532   25.75071799];[1.570796326794898, 3.425191532201156e-38, -0.010685689297908437, 1.6351241763682918]
[  20.56596416 -128.99106964   25.6375174 ];[1.570796326794898, -6.990186800410522e-40, 0.00021807529179406022, 1.0351990486420721]
[  10.99497793 -127.39136473   25.94499355];[1.570796326794898, 1.4265687347775862e-41, -4.450516159062609e-06, 0.5131579536994453]
[  -0.24858419 -124.44513684   26.23690275];[1.570796326794898, -2.9113647648522445e-43, 9.08268603890335e-08, -0.01047261129998818]
[ -11.17848902 -119.78168911   26.51915694];[1.570796326794898, 5.941560744596177e-45, -1.8536093956945257e-09, -0.5340707381349996]
[ -20.30892466 -113.98249657   26.80473849];[1.570796326794898, -1.2125634172646004e-46, 3.78287631774389e-11, -1.0576695269733638]
[ -27.25309426 -107.99749635   27.13598338];[1.570796326794898, 2.4746192189074426e-48, -7.720155750497266e-13, -1.5812683023014573]
[  28.33243471 -135.09941897   38.77407082];[1.570796326794898, -5.050243303892578e-50, -0.5342844648962073, 1.635124176368292]
[  21.40515446 -134.54117632   38.4594428 ];[1.570796326794898, 1.0306618987536515e-51, -0.5233807003065036, 1.0351990486420724]
